Question,Answer

# ==================== SHARED INFORMATION (for both villas) ====================

Address?,"Contrada Calafarina SNC, Marzamemi (SR) 96018, Italy, Borgo84"
Complex/Building name?,
Airports?,"Comiso Airport: 82 km, Catania Airport: 100 km."
Check-in time?,From 3:00 PM to 12:00 AM. Please notify in advance.
Check-out time?,From 12:00 AM to 11:00 AM.
Cancellation policy?,Varies depending on booking type. Check terms before booking.
Children allowed?,"Yes, all children are welcome. Enter correct number/age during booking."
Smoking allowed?,Smoking is not allowed.
Pets allowed?,No
House rules?,No age restrictions for check-in. Follow property guidelines for a peaceful stay.
WhatsApp contact?,+393495780944
Email contact?,borgo84reservation@gmail.com
Owner name?,Lanzani Gabriele
Languages spoken?,"English, Italian."

Shared amenities - Pools?,"2 outdoor pools (infinity pool with sea view, hot tub, children's pool), non-smoking rooms, free private parking, family rooms."
Shared amenities - Parking?,"Free private parking on-site, no reservation needed."
Shared amenities - Gym/Wellness?,"Hot tub (hydrotherapy pool), outdoor gym, sun loungers, umbrellas, padel court, beach volleyball court"
Shared or private pools?,"The pools are shared among all village guests. The house is located in a newly built village and all guests have access to the common pool."
Fenced for dogs?,"Yes, the entire village is fenced and enclosed. Although there are no fences dividing individual apartments within the village, the entire area is surrounded by a perimeter fence, making it safe for dogs."

Nearest supermarket?,"The nearest recommended supermarket is 3-4 km away. Public transportation to Marzamemi and Pachino is limited, so a car is recommended for convenience."
Recommended restaurants?,"La Cialoma, located in the center of Marzamemi, and Ristorante Scala in Portopalo are highly recommended for authentic Sicilian cuisine."
Distance from cities?,"Marzamemi is 50 km from Syracuse, 107 km from Catania, 61 km from Ragusa"

Emergency contacts?,"For urgent assistance:
- WhatsApp: +393495780944
- Email: borgo84reservation@gmail.com
Please contact immediately in case of repeated blackouts or other emergencies.

In case of power outage:
1. In the electrical panel inside the house, near the entrance door, you'll find a key that allows you to open the external column compartment, located along the pedestrian path, where the main circuit breaker with the apartment name is located.
2. Check which appliances were running before the blackout
3. Disconnect high-consumption appliances (air conditioner, oven, etc.)
4. Reset the main circuit breaker
5. Gradually reconnect appliances one at a time

IMPORTANT: The power limit in Italy is 4kW. Avoid using air conditioners, washing machine, and oven simultaneously."
Booking platforms?,"The property is available on:
- Airbnb
- Booking.com"
Flexible check-in?,"Yes, check-in time is flexible. Just inform the host in advance about your expected arrival time."

Reception/Invoice?,Invoice available upon request.
Cleaning service available?,"Yes, a cleaning service is available."
Cleaning service cost?,"€60 for basic cleaning, or €90 for cleaning or complete linen change. Service can be arranged with one day's notice."
Cleaning equipment?,"The house has basic cleaning equipment, including broom and mop."

Nearby activities?,"Beach nearby, 2 pools (infinity pool with sea view, hot tub, children's pool), outdoor gym, bike path, beach volleyball court and padel court."


# ==================== VILLA ZEFIRO ====================

Villa Zefiro - Maximum capacity?,6
Villa Zefiro - Size (sqm)?,68
Villa Zefiro - Number of bedrooms?,2
Villa Zefiro - Number of bathrooms?,2
Villa Zefiro - Bed configuration?,2 double beds and 2 sofa beds
Villa Zefiro - Airbnb description?,"Villa Zefiro: Welcome to this oasis of serenity, a perfect retreat for a romantic getaway, family vacation, or groups of friends. Cozy and comfortable house with Sicilian charm featuring a panoramic sea terrace and view of Isola di Capo Passero. Just a few meters from the beach, we offer free parking, wifi to stay always connected, two pools to cool off during hot summer days, fitness area and padel court."
Villa Zefiro - Booking.com description?,"Villa Zefiro and Villa i 2 Mari is located in Marzamemi, 500 meters from Spiaggia del Cavettone and 17 km from Oasi Naturale di Vendicari. It offers air-conditioned accommodation with free WiFi, a seasonal outdoor pool and a garden. Private parking is available on-site. This holiday home features a balcony, sea view, seating area, flat-screen TV, kitchen with refrigerator and private bathroom with bidet and hairdryer. Amenities also include a microwave and coffee machine. As guests at Villa Zefiro and Villa i 2 Mari you will have a terrace at your disposal. Noto Cathedral is 24 km from this property. Comiso Airport is 76 km from the property."
